F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F20,Label
9.0,65535.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,7.0,4982932.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,6.0,4982224.0,1254.0,1271.0,17.0,3088.0,392.0,2.0,128.0,785.0,3.0
14.0,768.0,256.0,2048.0,14.0,240.0,0.0,240.0,240.0,8.0,4983007.0,313.0,332.0,19.0,29.0,379.0,2.0,128.0,787.0,3.0
23.0,512.0,256.0,2048.0,23.0,240.0,0.0,240.0,240.0,7.0,4982505.0,2.0,4.0,2.0,3401.0,371.0,1.0,128.0,770.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982921.0,99.0,111.0,12.0,29.0,368.0,2.0,128.0,780.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,8.0,4982529.0,1655.0,1675.0,20.0,3396.0,372.0,2.0,128.0,788.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,8.0,4982965.0,670.0,684.0,14.0,3401.0,376.0,2.0,128.0,782.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982903.0,66.0,80.0,14.0,29.0,390.0,2.0,128.0,782.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4982521.0,1695.0,1714.0,19.0,29.0,389.0,2.0,128.0,787.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,7.0,4983004.0,999.0,1021.0,22.0,3400.0,383.0,2.0,-12.0,790.0,3.0
17.0,257.0,256.0,2048.0,17.0,240.0,0.0,240.0,240.0,5.0,4982119.0,205.0,0.0,19.0,3401.0,382.0,2.0,128.0,787.0,1.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,5.0,4982327.0,1004.0,1019.0,15.0,3404.0,383.0,2.0,128.0,783.0,3.0
26.0,768.0,256.0,2048.0,26.0,240.0,0.0,240.0,240.0,7.0,4982926.0,225.0,238.0,13.0,29.0,385.0,2.0,128.0,781.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,5.0,4982384.0,1086.0,1103.0,17.0,3397.0,372.0,2.0,128.0,785.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4982523.0,363.0,382.0,19.0,3397.0,389.0,2.0,128.0,787.0,3.0
4.0,65535.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,7.0,4982498.0,0.0,0.0,0.0,3401.0,256.0,1.0,256.0,768.0,3.0
26.0,768.0,256.0,2048.0,26.0,240.0,0.0,240.0,240.0,8.0,4983025.0,1787.0,1800.0,13.0,29.0,385.0,2.0,128.0,781.0,3.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,7.0,4983027.0,1481.0,1496.0,15.0,3397.0,383.0,2.0,128.0,783.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,8.0,4983016.0,956.0,977.0,21.0,3400.0,387.0,2.0,-12.0,789.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4983007.0,272.0,294.0,22.0,3401.0,383.0,2.0,-12.0,790.0,3.0
7.0,65535.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,8.0,4982512.0,0.0,0.0,0.0,3401.0,256.0,1.0,256.0,768.0,1.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,8.0,4982942.0,165.0,186.0,21.0,2850.0,387.0,2.0,-12.0,789.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,7.0,4982455.0,989.0,1003.0,14.0,29.0,390.0,2.0,128.0,782.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,7.0,4982545.0,53.0,72.0,19.0,29.0,389.0,2.0,128.0,787.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,5.0,4982333.0,2355.0,2372.0,17.0,29.0,372.0,2.0,128.0,785.0,3.0
25.0,65535.0,256.0,2048.0,25.0,240.0,0.0,240.0,240.0,8.0,4982959.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,5.0,4982206.0,344.0,0.0,21.0,2908.0,374.0,2.0,-12.0,789.0,1.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,6.0,4982109.0,546.0,561.0,15.0,29.0,383.0,2.0,128.0,783.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,6.0,4982472.0,282.0,299.0,17.0,29.0,372.0,2.0,128.0,785.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,7.0,4983024.0,671.0,692.0,21.0,29.0,387.0,2.0,-12.0,789.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,8.0,4983009.0,497.0,511.0,14.0,29.0,376.0,2.0,128.0,782.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982536.0,52.0,66.0,14.0,29.0,390.0,2.0,128.0,782.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,5.0,4982389.0,78.0,92.0,14.0,29.0,376.0,2.0,128.0,782.0,3.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,8.0,4983028.0,1609.0,1624.0,15.0,3400.0,383.0,2.0,128.0,783.0,3.0
12.0,768.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,5.0,4982416.0,1446.0,1461.0,15.0,3397.0,373.0,2.0,128.0,783.0,3.0
6.0,65535.0,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4982541.0,0.0,0.0,0.0,29.0,256.0,1.0,256.0,768.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4982522.0,166.0,185.0,19.0,3401.0,389.0,2.0,128.0,787.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4983005.0,422.0,434.0,12.0,29.0,368.0,2.0,128.0,780.0,3.0
26.0,65535.0,256.0,2048.0,26.0,240.0,0.0,240.0,240.0,8.0,4982501.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,5.0,4982272.0,1836.0,1853.0,17.0,3400.0,372.0,2.0,128.0,785.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,5.0,4982278.0,3377.0,0.0,21.0,29.0,374.0,2.0,-12.0,789.0,1.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982535.0,64.0,81.0,17.0,3397.0,392.0,2.0,128.0,785.0,3.0
