Dataset,Phase,Fold,SVM_Accuracy,SVM_Accuracy_Std,SVM_F1,SVM_F1_Std,SVM_Params,kNN_Accuracy,kNN_Accuracy_Std,kNN_F1,kNN_F1_Std,kNN_Params,Decision Tree_Accuracy,Decision Tree_Accuracy_Std,Decision Tree_F1,Decision Tree_F1_Std,Decision Tree_Params,Random Forest_Accuracy,Random Forest_Accuracy_Std,Random Forest_F1,Random Forest_F1_Std,Random Forest_Params,MLP_Accuracy,MLP_Accuracy_Std,MLP_F1,MLP_F1_Std,MLP_Params
Dataset3,Phase1_Baseline,Fold 7,0.850731,0.003225,0.298099,0.010692,{'classifier__estimator__C': 1},0.898747,0.005049,0.596,0.012779,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.899791,0.009391,0.590165,0.033087,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.897704,0.006896,0.598666,0.026191,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.862213,0.012809,0.364801,0.078063,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 8,0.850731,0.003018,0.287505,0.011979,{'classifier__estimator__C': 1},0.893528,0.004786,0.618453,0.014934,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.89666,0.009175,0.585588,0.031176,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.907098,0.007765,0.630566,0.028856,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.853862,0.013484,0.291295,0.091988,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase1_Baseline,Fold 9,0.852818,0.002935,0.325322,0.012983,{'classifier__estimator__C': 10},0.88309,0.005227,0.596078,0.014086,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.887265,0.008682,0.575103,0.029393,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.888309,0.007677,0.583486,0.027288,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.853862,0.013713,0.309524,0.095839,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase1_Baseline,Fold 10,0.852818,0.002851,0.304417,0.012345,{'classifier__estimator__C': 10},0.895616,0.005186,0.606419,0.013802,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.89666,0.008521,0.577858,0.027893,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.895616,0.007287,0.586908,0.025899,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.856994,0.013453,0.319934,0.096219,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 1,0.84463,0.0,0.238483,0.0,{'classifier__estimator__C': 1},0.868613,0.0,0.515098,0.0,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.864442,0.0,0.49956,0.0,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.872784,0.0,0.535699,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.849844,0.0,0.28159,0.0,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 2,0.843587,0.000521,0.22879,0.004847,{'classifier__estimator__C': 1},0.889468,0.010428,0.566937,0.02592,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.881126,0.008342,0.530329,0.015385,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.88634,0.006778,0.543894,0.004098,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.843587,0.003128,0.22879,0.0264,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase2_ReliefF,Fold 3,0.843587,0.000492,0.229049,0.00451,{'classifier__estimator__C': 1},0.879041,0.008514,0.553192,0.021928,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.882169,0.008122,0.572129,0.02974,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.885297,0.006159,0.580537,0.019494,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.854015,0.004285,0.331331,0.041869,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 4,0.846555,0.001212,0.256933,0.011437,{'classifier__estimator__C': 1},0.88309,0.007579,0.553766,0.019359,"{'classifier__n_neighbors': 21, 'classifier__weights': 'distance'}",0.88309,0.00769,0.55912,0.027957,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.881002,0.005338,0.547218,0.017092,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.850731,0.003774,0.31227,0.03877,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 5,0.844468,0.001085,0.228919,0.010898,{'classifier__estimator__C': 1},0.884134,0.006973,0.548933,0.017328,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.885177,0.007499,0.565268,0.026929,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.885177,0.005013,0.55802,0.015486,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.891441,0.017095,0.509714,0.09504,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 6,0.843424,0.001078,0.228766,0.010351,{'classifier__estimator__C': 1},0.894572,0.00816,0.584808,0.021039,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.899791,0.010283,0.618849,0.036824,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.887265,0.004962,0.551183,0.014154,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.86952,0.016193,0.424769,0.093292,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
