dataset,fold,n_features,feature_names
Dataset11,1,50,"F188, F161, F160, F197, F53, F2, F4, F25, F134, F236, F176, F205, F41, F227, F72, F99, F17, F147, F203, F170, F69, F13, F263, F221, F204, F77, F110, F219, F237, F33, F21, F139, F71, F96, F224, F157, F11, F190, F78, F212, F79, F106, F196, F229, F57, F144, F107, F123, F116, F63"
Dataset11,2,100,"F197, F4, F161, F17, F188, F25, F53, F134, F77, F155, F160, F147, F176, F143, F72, F205, F78, F96, F204, F219, F21, F187, F41, F157, F2, F33, F190, F263, F236, F196, F170, F63, F110, F237, F123, F229, F107, F57, F116, F13, F221, F52, F144, F106, F101, F238, F56, F1, F163, F173, F28, F186, F198, F227, F20, F99, F43, F114, F212, F252, F233, F24, F69, F108, F218, F146, F79, F225, F138, F128, F40, F135, F64, F11, F167, F60, F103, F131, F172, F200, F139, F71, F136, F5, F209, F14, F216, F120, F115, F3, F141, F224, F239, F137, F54, F148, F74, F211, F34, F191"
Dataset11,3,100,"F161, F77, F197, F53, F17, F188, F4, F134, F25, F160, F176, F237, F263, F72, F99, F69, F147, F170, F236, F143, F204, F2, F173, F110, F78, F198, F1, F205, F33, F21, F219, F11, F96, F123, F13, F221, F155, F71, F139, F229, F186, F57, F107, F190, F157, F252, F224, F212, F146, F41, F108, F56, F114, F144, F225, F106, F52, F20, F28, F63, F163, F133, F218, F227, F101, F187, F43, F24, F115, F156, F74, F103, F90, F5, F128, F203, F175, F138, F130, F178, F129, F120, F49, F126, F3, F250, F211, F121, F193, F34, F216, F91, F148, F44, F109, F210, F145, F135, F93, F50"
Dataset11,4,150,"F161, F197, F4, F188, F53, F72, F25, F17, F160, F134, F21, F176, F77, F96, F147, F237, F144, F2, F157, F205, F204, F263, F187, F212, F198, F173, F59, F63, F190, F99, F143, F69, F155, F138, F196, F13, F236, F33, F107, F229, F123, F227, F170, F57, F78, F41, F116, F1, F11, F106, F221, F110, F52, F219, F108, F186, F139, F71, F43, F252, F79, F56, F128, F146, F20, F114, F103, F224, F231, F24, F148, F264, F131, F255, F136, F141, F47, F167, F135, F130, F233, F163, F115, F101, F191, F133, F203, F209, F126, F129, F3, F7, F90, F250, F225, F34, F195, F121, F156, F74, F93, F54, F28, F211, F238, F111, F213, F102, F178, F40, F50, F49, F60, F109, F44, F145, F154, F244, F113, F5, F89, F179, F45, F245, F58, F200, F218, F216, F119, F120, F240, F118, F8, F210, F122, F38, F6, F125, F26, F202, F185, F226, F67, F14, F100, F192, F193, F105, F258, F137"
Dataset11,5,100,"F197, F161, F53, F188, F176, F17, F4, F77, F134, F25, F147, F72, F160, F13, F78, F227, F99, F236, F110, F1, F173, F69, F170, F33, F263, F237, F204, F205, F2, F143, F123, F196, F71, F139, F107, F229, F57, F157, F155, F11, F212, F116, F96, F221, F41, F59, F219, F198, F144, F224, F186, F106, F103, F56, F238, F108, F21, F252, F43, F146, F203, F128, F64, F63, F148, F211, F54, F34, F79, F20, F120, F115, F101, F245, F145, F126, F49, F216, F135, F89, F50, F3, F121, F5, F93, F209, F179, F40, F114, F109, F156, F210, F129, F58, F24, F163, F255, F250, F74, F133"
Dataset11,6,150,"F161, F188, F160, F197, F176, F53, F134, F25, F77, F72, F4, F13, F78, F147, F205, F71, F139, F2, F17, F99, F237, F69, F236, F227, F170, F204, F224, F219, F263, F173, F110, F144, F106, F221, F157, F138, F107, F229, F57, F198, F143, F212, F203, F41, F33, F128, F1, F186, F96, F187, F155, F11, F79, F43, F225, F190, F21, F56, F63, F103, F114, F167, F146, F52, F74, F135, F211, F115, F252, F120, F105, F90, F145, F34, F148, F89, F121, F126, F108, F20, F193, F5, F179, F209, F210, F3, F244, F54, F40, F216, F93, F59, F250, F255, F38, F24, F49, F156, F109, F50, F136, F102, F58, F67, F191, F245, F264, F131, F7, F44, F192, F141, F213, F195, F6, F28, F118, F200, F129, F175, F130, F64, F231, F100, F45, F163, F218, F185, F240, F101, F133, F150, F239, F178, F154, F165, F119, F39, F153, F261, F51, F226, F125, F94, F202, F88, F111, F172, F66, F92"
Dataset11,7,50,"F25, F4, F161, F17, F197, F134, F53, F147, F160, F176, F205, F72, F77, F63, F2, F13, F78, F190, F188, F21, F238, F196, F123, F229, F57, F236, F107, F71, F144, F139, F237, F99, F33, F69, F41, F204, F170, F1, F263, F96, F157, F224, F130, F219, F143, F187, F110, F212, F186, F225"
Dataset11,8,50,"F161, F188, F4, F197, F134, F72, F2, F25, F53, F227, F160, F205, F147, F176, F13, F236, F17, F221, F96, F77, F78, F190, F99, F69, F263, F170, F157, F71, F212, F139, F204, F59, F219, F144, F123, F196, F224, F229, F57, F107, F79, F143, F116, F41, F110, F1, F56, F106, F238, F43"
Dataset11,9,100,"F197, F4, F25, F161, F17, F53, F188, F134, F160, F77, F147, F2, F13, F72, F176, F205, F170, F144, F110, F96, F99, F190, F69, F78, F56, F143, F263, F219, F173, F157, F71, F139, F63, F204, F236, F21, F108, F196, F1, F229, F107, F224, F57, F123, F186, F41, F155, F221, F225, F187, F252, F79, F146, F212, F198, F59, F106, F20, F114, F128, F103, F129, F237, F52, F43, F227, F121, F90, F156, F126, F148, F211, F191, F54, F135, F28, F50, F179, F250, F40, F34, F130, F93, F178, F47, F245, F195, F89, F58, F167, F109, F255, F145, F163, F203, F11, F24, F120, F74, F49"
Dataset11,10,50,"F17, F161, F53, F160, F197, F176, F134, F72, F188, F4, F25, F2, F236, F106, F78, F237, F170, F147, F13, F263, F205, F221, F110, F69, F71, F139, F224, F219, F77, F227, F157, F1, F11, F204, F196, F144, F107, F57, F229, F123, F212, F173, F116, F41, F28, F138, F96, F155, F21, F43"
Dataset12,1,50,"F161, F227, F188, F197, F160, F2, F205, F25, F53, F134, F236, F4, F17, F72, F176, F147, F263, F99, F69, F170, F219, F221, F78, F71, F139, F224, F204, F13, F157, F1, F28, F33, F106, F107, F57, F229, F196, F123, F212, F116, F138, F77, F41, F187, F79, F203, F21, F96, F143, F144"
Dataset12,2,150,"F25, F161, F4, F176, F197, F53, F188, F160, F134, F17, F77, F2, F13, F147, F205, F72, F187, F144, F170, F99, F69, F1, F219, F236, F157, F227, F190, F263, F71, F139, F110, F221, F11, F203, F33, F224, F196, F21, F107, F229, F123, F143, F57, F78, F96, F116, F41, F225, F79, F114, F218, F204, F8, F63, F52, F155, F212, F43, F128, F237, F108, F28, F132, F56, F186, F103, F138, F126, F192, F175, F130, F198, F48, F248, F89, F90, F121, F135, F179, F115, F7, F34, F102, F156, F209, F54, F50, F44, F211, F250, F191, F133, F264, F75, F213, F178, F74, F210, F109, F216, F148, F5, F93, F145, F146, F58, F49, F257, F245, F195, F120, F217, F100, F239, F231, F106, F252, F6, F167, F255, F26, F173, F136, F40, F118, F39, F141, F125, F24, F122, F20, F193, F163, F154, F3, F240, F14, F131, F101, F92, F15, F45, F200, F60, F244, F38, F111, F59, F261, F119"
Dataset12,3,50,"F161, F188, F197, F53, F160, F2, F25, F4, F72, F134, F236, F227, F205, F77, F147, F17, F176, F99, F143, F187, F203, F69, F170, F138, F157, F219, F204, F78, F212, F263, F28, F196, F123, F106, F59, F71, F221, F13, F224, F144, F139, F11, F33, F57, F107, F229, F1, F110, F41, F116"
Dataset12,4,150,"F197, F161, F4, F25, F53, F188, F77, F160, F78, F176, F134, F17, F99, F236, F237, F170, F227, F147, F96, F69, F2, F263, F143, F205, F72, F204, F221, F196, F229, F107, F123, F57, F157, F33, F173, F41, F190, F116, F71, F11, F139, F13, F212, F224, F63, F219, F144, F110, F106, F21, F187, F1, F56, F138, F198, F7, F43, F136, F218, F128, F102, F64, F103, F90, F213, F186, F105, F156, F74, F8, F155, F108, F133, F245, F250, F238, F145, F178, F115, F109, F126, F89, F209, F135, F121, F50, F34, F49, F191, F179, F195, F114, F211, F5, F93, F193, F120, F54, F148, F255, F210, F216, F65, F44, F203, F167, F6, F264, F192, F58, F52, F231, F40, F20, F125, F100, F39, F118, F47, F233, F14, F239, F111, F163, F101, F244, F91, F3, F154, F217, F257, F60, F45, F226, F185, F146, F252, F261, F131, F127, F92, F66, F150, F38, F95, F51, F132, F169, F225, F153"
Dataset12,5,150,"F161, F197, F17, F25, F160, F53, F188, F4, F77, F134, F176, F236, F72, F99, F78, F147, F2, F170, F69, F205, F71, F139, F224, F237, F144, F33, F11, F110, F204, F21, F263, F13, F157, F227, F75, F196, F219, F123, F229, F107, F57, F187, F79, F41, F221, F116, F106, F143, F198, F26, F212, F1, F203, F96, F173, F59, F43, F186, F90, F7, F56, F211, F63, F54, F156, F148, F93, F250, F145, F34, F114, F135, F245, F121, F52, F213, F102, F50, F128, F126, F91, F5, F133, F103, F178, F109, F216, F49, F264, F190, F127, F209, F89, F231, F210, F74, F58, F255, F108, F179, F115, F155, F120, F105, F44, F191, F248, F48, F154, F138, F40, F6, F195, F131, F225, F167, F136, F233, F193, F100, F125, F28, F141, F244, F47, F130, F39, F101, F217, F257, F185, F226, F163, F3, F118, F60, F252, F20, F172, F38, F111, F51, F146, F119, F253, F169, F67, F218, F95, F45"
Dataset12,6,50,"F161, F17, F188, F4, F53, F197, F160, F13, F25, F205, F134, F203, F176, F227, F147, F2, F99, F236, F69, F72, F263, F170, F78, F221, F196, F229, F107, F123, F219, F57, F110, F41, F204, F106, F157, F21, F77, F33, F63, F71, F139, F212, F28, F224, F144, F187, F143, F96, F11, F43"
Dataset12,7,150,"F161, F197, F17, F188, F4, F53, F160, F25, F134, F2, F41, F147, F78, F205, F77, F236, F170, F227, F203, F99, F176, F69, F219, F107, F196, F229, F57, F123, F204, F237, F116, F221, F71, F224, F28, F139, F263, F106, F110, F33, F157, F143, F13, F1, F96, F56, F173, F144, F79, F190, F212, F72, F59, F43, F63, F138, F218, F8, F21, F114, F133, F91, F130, F47, F31, F11, F211, F209, F127, F128, F65, F187, F5, F103, F54, F216, F135, F148, F93, F126, F115, F213, F89, F155, F210, F7, F34, F264, F167, F179, F68, F255, F74, F102, F120, F178, F44, F250, F132, F141, F245, F90, F156, F108, F145, F136, F198, F49, F191, F121, F186, F50, F109, F244, F58, F40, F193, F195, F131, F225, F6, F231, F100, F122, F125, F45, F105, F154, F14, F26, F111, F230, F118, F3, F146, F38, F52, F39, F226, F200, F149, F185, F192, F240, F249, F252, F260, F60, F202, F67"
Dataset12,8,150,"F161, F17, F197, F25, F160, F188, F4, F53, F176, F134, F78, F170, F99, F147, F263, F69, F72, F236, F205, F71, F139, F224, F110, F204, F157, F2, F33, F107, F144, F196, F229, F123, F57, F219, F116, F41, F77, F106, F221, F79, F143, F227, F63, F21, F11, F28, F75, F47, F13, F187, F155, F114, F212, F237, F91, F26, F190, F43, F138, F96, F101, F203, F60, F7, F163, F128, F130, F186, F121, F90, F64, F250, F50, F156, F245, F136, F126, F178, F74, F211, F102, F213, F109, F239, F34, F93, F145, F48, F5, F148, F115, F248, F210, F14, F191, F233, F89, F54, F209, F1, F49, F127, F216, F108, F44, F103, F135, F173, F120, F3, F264, F58, F179, F255, F52, F105, F6, F193, F218, F231, F118, F217, F257, F167, F195, F198, F100, F56, F225, F45, F40, F185, F39, F240, F133, F154, F20, F8, F119, F59, F111, F24, F244, F146, F125, F252, F131, F260, F38, F51"
Dataset12,9,150,"F4, F161, F25, F188, F53, F78, F197, F227, F134, F77, F160, F17, F236, F147, F99, F263, F69, F176, F170, F2, F205, F143, F13, F96, F204, F72, F56, F33, F221, F21, F196, F123, F57, F229, F157, F219, F107, F212, F110, F41, F106, F116, F203, F1, F187, F138, F71, F139, F224, F218, F43, F11, F133, F8, F90, F59, F128, F145, F211, F250, F126, F209, F89, F156, F50, F74, F144, F115, F120, F178, F109, F245, F5, F121, F105, F54, F3, F44, F216, F192, F93, F193, F34, F49, F148, F237, F210, F231, F191, F135, F179, F248, F48, F136, F65, F255, F195, F103, F118, F45, F154, F100, F58, F167, F6, F63, F125, F239, F244, F186, F75, F102, F213, F7, F114, F28, F225, F233, F111, F108, F132, F40, F264, F14, F47, F173, F131, F39, F141, F26, F52, F260, F155, F190, F198, F185, F252, F60, F20, F146, F172, F38, F226, F240, F51, F149, F24, F64, F162, F153"
